Label,Text
Safe,T-CASH: “0000012566694822 Confirmed. GHS [AMOUNT] sent to [NUMBER] - [NAME] on 2026-04-01 at 20:46:46. Your Telecel Cash balance is GHS [AMOUNT]. You were charged GHS [AMOUNT]. Your E-levy charge is GHS [AMOUNT]. Do more with Telecel Cash! Reference: [REFERENCE]. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App https://bit.ly/TelecelPlayGhana and continue to enjoy the convenience. Sendi k3k3!”
Safe,T-CASH: “0000012481019593 Confirmed. You have received GHS [AMOUNT] from ********2651- [NAME]  on 2026-03-24 at 15:19:53. Your Telecel Cash balance is GHS [AMOUNT]. Ref: 233201013997 Remaining balance [AMOUNT]”
Safe,"T Cash: “Pay your UG or KNUST fees with Telecel Cash. Dial *110# select Make Payments, then select option 5, then Public Universities to start. Hassle-free!”"
Safe,"T Cash: ""Free Data! Enjoy FREE 150MB data reward when you make payment of GHs50 or more to any Merchant number. Dial *110# now and select option 4 to start transacting! T&C apply.”"
Safe,"AT DATA: “Enjoy today's exclusive Daily Deal offer of 1.2GB for GHS3 only & browse saaa for the next 24hrs. Dial *533# to buy now! AT, Life is simple.”"
Safe,"AT DATA: ""Ho-Ho-Hold on! Grab 6GB for GHS10 to keep up with the Christmas moments online. Dial *533#, valid for 3 days & connect with your loved ones this Season.”"
Safe,"AT DATA: ""More choices for your amazing data experience! Dial *533# every day for an exciting bundle made just for you; valid for 24hrs. AT, life is simple.”"
Safe,AT: “You have successfully purchased BigTime Data @ GHS 2. Enjoy 111MB with NO EXPIRY”
Safe,"AT: ""You've used 50% of your data bundle. Dial: A)*111# to buy 550MB @5GHC B)*111*9*1# to browse from main account C)*111*9*2# to stop browsing from main account.”"
Safe,AirtelTigo: “You have successfully purchased BigTime Data @ GHS 5. Enjoy 810MB with NO EXPIRY”
Safe,AirtelTigo: “You've used 90% of your data bundle. Dial: A)*111# to buy 550MB @5GHC B)*111*9*1# to browse from main account C)*111*9*2# to stop browsing from main account.”
Safe,ATMoney: “You have paid GHS[AMOUNT] to DATA in reference to 111MB. Your new balance is GHS[AMOUNT]. Trans ID: MM260401.1914.D05432 E-Levy:GHS 0.00”
Safe,"ATMoney: ""Dear Customer, you have sent GHS [AMOUNT] to [NAME], mobile money wallet [NUMBER]. Charge: GHS [AMOUNT] ELevy:GHS [AMOUNT]. Your Curr Bal: GHS [AMOUNT], Avail Bal: GHS [AMOUNT]. Trans ID: GM260328.1028.C04014, GHIPSS ID:400270392806"
Safe,"ATMoney: ""Dear Customer, you have received GHS [AMOUNT] from [NAME]  in reference to [REFERENCE]. Your Curr Bal:GHC [AMOUNT] , Avail Bal: GHC [AMOUNT]. Trans ID: GW260327.1823.D08586, GHIPSS ID:078076643638"
Safe,"Telcel: “The Best Voice Offer Ever! Get 200 Minutes to call all networks for GHS [AMOUNT], valid for 7 days. Dial *110# now and select options 3, 3 to enjoy.”"
Safe,"MTN: ""Need cash now? Get a MoMo Loan in minutes and enjoy 300MB FREE data. Dial *170#, choose Financial Services - Loans or use MoMoApp https://mtnmymomo.onelink.me/XJOt/cVm1x"""
Safe,MTNGhana: “You have less than 5MB of your Data Bundle Bonus remaining”
Safe,"MTNGhana: ""You have less than 20MB of your Data Bundle Bonus remaining”"
Safe,"MTNGhana: ""You have less than 10MB of your Data Bundle Bonus remaining”"
Safe,"MTNGhana: ""Dear Valued customer, you have used 80% of your subscribed Data_GHC_3. Dial *138# to purchase more. Thank you.”"
Safe,"MTNGhana: ""TH80%: Calling Party=[NUMBER], Location=233,   Main Account= 0.025054, DA ID=6411013'', DA Balance=[AMOUNT], DA Expiry=Jan 01 9999”"
Safe,Mobile Money: “<#> DO NOT share this SMS. This OTP is required to access your wallet so keep it private. MTN staff will NEVER ask for it. Enter code :3466 to complete your login. N/ RywfrtIZL 3XTs0SAuJcW RdbS6eMOXvx Tg6mmsWBV/| I+/DM+YOkqw 81Qp6cNCYgn L9X0x07s5Х9 +ВQ+|2vBZvQ 071KQ0fm116”
Safe,"Mobile Money: ""<#> DO NOT share this SMS. This OTP is required to access your wallet so keep it private. MTN staff will NEVER ask for it. Enter code :0764 to complete your login. N/ RywfrtIZL 3XTs0SAuJcWRdbS6eMOXvx Tg6mmsWBV/l I+/DM+YOkqw 81Qp6cNCYgnL9X0x07s5X9 +BQ+l2vBZvQ071KQ0fm116”"
Safe,"Mobile Money: ""<#> DO NOT share this SMS. This OTP is required to access your wallet so keep it private. MTN staff will NEVER ask for it. Enter code :9812 to complete your login. N/ RywfrtIZL 3XTs0SAuJcW RdbS6eMOXvx Tg6mmsWBV/l I+/DM+YOkqw 81Qp6cNCYgn L9X0x07s5Х9 +ВQ+|2vBZvQ 071KQ0fm116”"
Safe,MTN Info: “Momo Fraud Funds Cashed Out How to subscribe ****** N/A MTN Call Center 2- [MvMTN]”
Safe,ECOBANK: “Your one-time password is 739657 expires in 10 minutes”
Spam,"NLA: “TODAY NLA LOTTO NUMBERS 
[[  69 : 53 : 6. 41 : 38 ]]
      [[. 38 : 6 ]]
Evening… 
PLEASE DO NOT MItS”"
Spam,"NLA_ATENA: “WIN some CASH on Afriluck MIDDAY CASH draw at 1:30 PM! Simply dial *741# to play DIRECT 2/3/4 & WIN 60x/600x/10,000x your stake. Good luck! https://afriluck.app"""
Spam,"AfrLuck-NLA: ""Imagine winning GHS70 Million! Tonight's AfriLuck Super Friday draw is your chance. Dial *741# to play the MEGA JACKPOT, PERM/DIRECT game https://afriluck.app"""
Spam,"NLA: ""One ticket. One draw. One life-changing win. Afriluck GHS70M MEGA JACKPOT draw is tonight at 8pm on GTV. Simply dial *741# to play! Good luck Stop SMS *741*456#”"
Fraud,Unknown: “Please note that our team has attempted to contact you several times without success. Please verify your information immediately.  ghanapost-help.top/gh”
Fraud,Unknown: “Cash received [AMOUNT] for [NAME] Jd558868825585455682586843 balance (....) available [AMOUNT] Thank You”
Fraud,"Unknown: ""We are unable to contact you using the information in your order. Your order has been temporarily suspended. Please check: https://ghanapost.blog/gh"""
Fraud,"Unknown: ""Your package delivery has been suspended due to a missing house number. Please verify and complete your address as soon as possible.  https://turviza.com/ns"""
Fraud,"Unknown: “Our company has noticed your information and contacting you to start work. Contact for details: wa.me/18396665230"""
Fraud,"Unknown: “Post Office: We have attempted to contact you twice, but without success. The item will be returned. Please proceed to: https://ghapostt.cn/gh"""
Fraud,"Unknown: “Traffic: You have an outstanding traffic ticket. This is your last reminder before the fine increases. https://lihi.cc/8BcRg"""
Fraud,"Unknown: ""Price update: Your recent order total has been adjusted to GHS [AMOUNT] due to revised charges. Kindly review and confirm to avoid automatic processing. Reference: PRC/UPD/77421. Adjustment fee: GHS [AMOUNT]. Valid for limited time.”"
Spam,"Unknown: ""Your 672524 recent support query has been answered and is awa1ting your rev1ew.”"
Fraud,"Unknown: ""Notice: A toll transaction may require your review. Please check your account through the official toll service website or mobile app. fuiuiuni.com/gh"""
Fraud,"Unknown: ""Kindly update your delivery location within 12 hours, otherwise we will proceed to return the product: https://ghaposta.cn/gh"""
Fraud,Unknown: “Your DHL Package will be returned to sender in 24 hrs if address not verified. Action required: t.co/ZH3EqPOEpG  Fee: GHS [AMOUNT]”
Fraud,"Unknown: ""Our company has noticed your information and contacting you to start work. Daily salary GHS [AMOUNT], Contact for details: wa.me/255683867989"""
Fraud,"Unknown: “Our staff were unable to locate your delivery address. A 20% storage fee will be added to the shipment. For details, please see: https://l24.im/hyGt"""
